CODGEO,Taux_chomage,taux_sans_diplome,taux_maison_princ,taux_loc_princ,taux_inactifs,salaire_ouvrier,salaire_employe,TP6020
01004,14.77,19.36,42.45,52.76,14.99,11.7726660165518,11.2592092797497,17.0
01007,7.61,13.33,84.69,24.29,12.18,12.5202210094236,11.9170583504026,7.0
01014,13.98,32.39,65.78,34.89,16.51,11.8487870624107,12.1751413121253,10.0
01025,7.14,18.07,95.18,13.92,12.42,12.4002968146212,11.6637937398858,6.0
01031,14.99,31.01,35.29,58.31,17.4,11.759778160562,11.4745739349452,19.0
01032,8.57,15.1,72.87,44.83,12.8,12.42456287876,12.4243954942089,9.0
01033,15.37,24.82,40.01,48.28,14.0,11.8518044995766,11.2618235453948,16.0
01034,16.42,25.73,44.21,47.5,15.05,11.3928313345605,11.0201945498117,18.0
01043,6.72,11.57,80.54,19.69,13.4,13.1584963591651,12.7294503360809,5.0
01053,17.93,22.18,22.54,56.68,18.63,11.1938105631268,11.1660365478301,22.0
01071,8.8,9.27,53.08,35.71,12.28,13.9665898333505,12.041882138703,8.0
01072,8.58,15.37,78.69,26.09,13.12,12.282920313392,11.8299705320715,7.0
01074,9.29,21.76,67.72,30.62,10.96,12.2693807787922,11.79621954077,11.0
01093,10.69,28.81,54.25,40.95,12.83,12.5128384262175,11.408336912756,10.0
01109,9.75,13.31,67.7,27.9,11.23,12.4241428153164,11.1707060834965,10.0
01135,8.59,8.37,73.31,21.58,11.82,11.9016626842221,12.5435992609349,13.0
01138,12.74,25.89,56.81,39.37,14.1,12.9307555925012,11.3350044580095,12.0
01142,9.55,16.23,68.42,30.04,13.91,12.6840640957676,12.6645321550477,7.0
01143,11.07,11.83,35.39,37.72,11.35,12.2523649846059,11.9340870037053,8.0
01159,7.41,20.83,84.21,33.08,11.17,11.8816386326134,11.8206428857708,6.0
01160,13.58,13.65,9.38,59.64,14.07,11.2222179314594,10.9256253635105,23.0
01173,10.55,13.24,28.74,48.75,10.1,12.6218347242226,11.459275354774,10.0
01185,7.86,20.22,58.0,32.44,16.19,11.2078173938942,10.7674546315795,11.0
01192,10.41,21.93,70.71,45.86,12.4,12.3025216388384,11.9220394634803,9.0
01194,9.69,21.01,56.68,34.88,13.37,12.2126940808354,12.1053857333035,11.0
01199,11.04,20.81,77.17,25.3,12.19,12.3548505641298,11.4315060103333,11.0
01202,12.56,22.64,59.0,36.87,14.34,12.6754295042912,11.6176594329195,9.0
01224,10.81,20.21,76.26,23.63,12.97,12.6900971501234,11.9663400591237,8.0
01244,9.85,17.77,54.92,40.76,12.98,12.0388533230675,11.8105364478812,9.0
01249,8.91,17.55,49.07,36.0,13.72,12.3867771580238,12.3473289844219,9.0
