REG,DEP,CODGEO,LIBGEO,AAV20,LIBAAV2,CATEAAV,LIBCATE,TAAV20,LIBTAAV,geometry,Taux_chomage,taux_sans_diplome,taux_maison_princ,taux_loc_princ,taux_inactifs,salaire_ouvrier,salaire_employe,TP6020
32,59,59004,Aix-en-Pévèle,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((3.30066713038037 50.48727603709588, 3.2752991894718595 50.489875086019254, 3.2940830418888494 50.50657299540616, 3.32885776409423 50.50812723774846, 3.3347125172417793 50.50789665850906, 3.33072927520907 50.49934436460141, 3.30066713038037 50.48727603709588))",,,,,,,,
32,59,59005,Allennes-les-Marais,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((2.9632207383121996 50.52788369731953, 2.95014341248667 50.52368741545888, 2.94625213115924 50.529457024685925, 2.9305252950161185 50.54738278563982, 2.92964835891083 50.550442457821084, 2.9404456584601903 50.55685660371524, 2.950419746685519 50.55779481288896, 2.9648340038901786 50.53754148805448, 2.9632207383121996 50.52788369731953))",,,,,,,,
32,59,59009,Villeneuve-d'Ascq,4,Lille (partie française),12,Autre commune du pôle principal,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((3.1379398906166807 50.601202907743556, 3.1205384251750603 50.61846948172088, 3.1248729688489605 50.61990195499453, 3.121199499138569 50.63508048885826, 3.1168142031531607 50.63645827616613, 3.1232607249071296 50.64710365962995, 3.119326114151159 50.64849940475186, 3.118702568574569 50.653668412447736, 3.1271707194027294 50.653139731434045, 3.13620716024805 50.663791698531966, 3.13791172386081 50.673139764705496, 3.1473250043941805 50.670949060391514, 3.14717975135485 50.664577432887356, 3.156462106123639 50.66214280496127, 3.1620357014994 50.6568410353361, 3.16944768523504 50.65278379472353, 3.1793891824813403 50.653748318488624, 3.1857969637685404 50.63806143014183, 3.1807824067985107 50.63279131785496, 3.18875274950101 50.628705485555095, 3.1939725327189294 50.62855385736579, 3.1969167387333792 50.63474114375292, 3.20624399034955 50.63463638741305, 3.207287098883481 50.63444627306085, 3.203928847077889 50.62397922556691, 3.20169879311524 50.62709667105528, 3.1963772343447387 50.62656653919391, 3.1795018486247697 50.61806626582856, 3.176347176829879 50.61167203138951, 3.180203399232539 50.609288815346304, 3.1729563326982886 50.60196653027445, 3.1379398906166807 50.601202907743556))",17.8,14.0,42.15,51.9,23.7,10.9002313166905,11.2697015144654,20.0
32,59,59011,Annoeullin,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((2.9268652613093193 50.50780704062396, 2.916456141196029 50.52023219339399, 2.8956397292475202 50.531372890158096, 2.8979155418096787 50.53342989491911, 2.900404364056619 50.5353434218234, 2.9158357272135693 50.537806095503164, 2.9305252950161185 50.54738278563982, 2.94625213115924 50.529457024685925, 2.9506757694621393 50.51190266441946, 2.9268652613093193 50.50780704062396))",12.5,23.7,77.71,25.8,21.2,11.3950982836519,11.7784275522144,10.0
32,59,59013,Anstaing,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((3.1921439736945003 50.59329505025182, 3.186876609091119 50.59859822184157, 3.1729563326982886 50.60196653027445, 3.180203399232539 50.609288815346304, 3.1955707391135806 50.6114283671788, 3.2024706741971394 50.60175996490877, 3.1921439736945003 50.59329505025182))",,,,,,,,
32,59,59017,Armentières,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((2.89730527338137 50.680586130019854, 2.8927486295264697 50.678671187185955, 2.87142910298729 50.68142341787185, 2.856190235322569 50.6860281533442, 2.870173186749278 50.70291415341621, 2.8842681880624697 50.70589793597239, 2.9004305664981 50.69328708342718, 2.89453494591176 50.6887677464815, 2.89730527338137 50.680586130019854))",18.3,26.9,57.27,47.6,18.0,10.743868038537,10.958396253175,24.0
32,59,59022,Attiches,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((3.0712082934484104 50.48829394217789, 3.07078526402674 50.4883033583028, 3.06888844192958 50.50091575206571, 3.0587299896810998 50.5025280764617, 3.05015334206797 50.510502001412256, 3.0448319205267693 50.51056719304984, 3.03930717920434 50.51824278874858, 3.04934048188993 50.52846287433534, 3.0631011529054293 50.53105046341742, 3.066063791032749 50.525296040843344, 3.078066321158449 50.52019909484949, 3.08174548474047 50.51452420730242, 3.0760221143981306 50.508855293273655, 3.077803182468119 50.49566858828143, 3.0712082934484104 50.48829394217789))",,,,,,,,
32,59,59025,Aubers,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((2.8082198928595203 50.578855009593816, 2.78907502913048 50.58306011223728, 2.7920653560490796 50.58628709480335, 2.8084345647689486 50.607718941181915, 2.8285782154046806 50.61880472070294, 2.8313814700625395 50.62002029220584, 2.8337816283666597 50.6110485678418, 2.84805331376144 50.59294754906722, 2.8387839943001194 50.586150925977556, 2.825923410594151 50.58310000374536, 2.8082198928595203 50.578855009593816))",,,,,,,,
32,59,59029,Auchy-lez-Orchies,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((3.2102073706040395 50.47224790027768, 3.18515824744054 50.468724290452315, 3.1751100009338002 50.47110890730688, 3.16882546275719 50.47583928359906, 3.17395096293367 50.48576827986011, 3.191478713017719 50.49634341436435, 3.2004372948398485 50.4878741005669, 3.2315753419620505 50.485252231178, 3.2102073706040395 50.47224790027768))",,,,,,,,
32,59,59034,Avelin,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((3.0901969199027004 50.50948329659264, 3.08174548474047 50.51452420730242, 3.078066321158449 50.52019909484949, 3.066063791032749 50.525296040843344, 3.0631011529054293 50.53105046341742, 3.068908466035509 50.55638535743696, 3.0766701562069287 50.564225085677606, 3.0959574115295587 50.56976666646296, 3.1070533106747 50.55279506762397, 3.1021336125669388 50.551354169317065, 3.1003736078669197 50.537650443789474, 3.1077916850725185 50.52887491672973, 3.1010165818701485 50.52122432472358, 3.10504678333592 50.5158173290191, 3.0901969199027004 50.50948329659264))",,,,,,,,
32,59,59042,Bachy,4,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((3.286517915577799 50.52757613058253, 3.26037531351751 50.52872862958483, 3.2535146513059394 50.54200017390004, 3.2583070008247295 50.54286914299595, 3.2536238676751994 50.55828050661893, 3.263047108210329 50.56030775472252, 3.2759579230790603 50.558538296572465, 3.2816314408179506 50.55282580502418, 3.27974206615644 50.53988764318447, 3.286517915577799 50.52757613058253))",,,,,,,,
